run_id,origin,valid_time,lead_hours,field,pressure_hpa,baseline_mse,residual_mse,baseline_bias,residual_bias
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_humidity,7.0,1.488836675802281e-13,6.308024420636678e-14,-3.4388871028706436e-07,1.9776918666165292e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_humidity,10.0,7.462593120032037e-14,1.1324695567849696e-13,-2.3243175447786124e-07,3.1287111914732323e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_humidity,20.0,1.0744734938384138e-14,1.543650092075518e-13,-2.0461754306081638e-08,3.8160297267247085e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_humidity,30.0,7.387388342879905e-15,3.4477563945569827e-14,3.605883264871567e-08,1.6183627655965684e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_ice_water_content,1.0,2.0685004352468373e-12,2.5765956545387215e-12,6.238629704766226e-07,2.1859351180526197e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_ice_water_content,2.0,2.027716723254796e-12,2.5505972395408586e-12,5.850281516041546e-07,1.5756376759289855e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_ice_water_content,3.0,2.0229075345536967e-12,2.5393815212985203e-12,5.72856012505721e-07,1.6627033575017268e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_ice_water_content,5.0,1.9996778933935833e-12,2.5327955147513167e-12,5.587407108736197e-07,1.2245824591808968e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_ice_water_content,7.0,2.0123540503163836e-12,2.565316351344286e-12,5.672149393913982e-07,2.0002539927796504e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_ice_water_content,10.0,2.037848553035611e-12,2.54593979646147e-12,5.981833098108302e-07,1.7682727729809726e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_ice_water_content,20.0,1.48755210444765e-12,1.918688248471962e-12,3.564915626472014e-07,-1.7458040958631628e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_ice_water_content,30.0,9.941403817327904e-13,1.8251025140729217e-12,-1.1082093354429346e-07,-6.785866129624202e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_liquid_water_content,1.0,7.757208555339974e-12,2.373942015553655e-11,8.575659972407154e-07,6.049310600536828e-08
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_liquid_water_content,2.0,7.768033252963407e-12,2.378567121452605e-11,8.814226926456403e-07,2.712485442239073e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_liquid_water_content,3.0,7.698124016419846e-12,2.392282267928371e-11,8.389064266073973e-07,3.673272182944663e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_liquid_water_content,5.0,7.755120571576993e-12,2.3936098373628665e-11,8.735207078024945e-07,4.2311622413686544e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_liquid_water_content,7.0,7.830635752254065e-12,2.3770878917794667e-11,9.127986828439538e-07,2.678949977691097e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_liquid_water_content,10.0,7.71015543619863e-12,2.3647653328169904e-11,8.475489957015011e-07,2.0737948004195173e-07
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_liquid_water_content,20.0,5.881784767208988e-12,1.982604101019973e-11,8.065658581164909e-07,-1.0373329610254608e-06
k1_w128_d16,2022-01-10T00,2022-01-10T06,6,specific_cloud_liquid_water_content,30.0,3.815310592419541e-12,2.005139955730282e-11,7.231624994069726e-07,-2.5656889329408435e-06
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,temperature,1.0,93.78922602578669,62.54409274929649,-5.975487443253258,-1.660833381298417
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,temperature,2.0,60.4835843891438,108.35816360682658,-4.071937830597122,7.913645258893167
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,temperature,3.0,38.180644060454505,88.28836344883983,-2.3446659209315337,7.389475895170592
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,temperature,5.0,21.360983641640452,45.0299525286912,-1.81076124612015,4.955038782181392
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,temperature,7.0,15.185788425355014,36.52472136577846,-1.418445208462932,4.591603585117189
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,temperature,10.0,8.02794643616786,25.809596460089566,-0.2251098047081976,4.095232957138689
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,temperature,20.0,4.1491239182976045,10.649657540703599,0.7134882458393466,-2.1674212890510343
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,temperature,30.0,3.5872640014249644,11.674346880031216,0.8664315954685976,-2.561887984880161
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,geopotential,1.0,923416052.9589018,7222197.97746921,-30179.07673872254,-14.634403774542776
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,geopotential,2.0,430499372.99126714,3079333.804106381,-20594.257653973902,262.72270987619584
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,geopotential,3.0,244354505.3851617,1633640.4444433004,-15516.89925785405,-279.29013819963313
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,geopotential,5.0,92430288.80202934,875154.6712675983,-9534.958412778928,306.1496789832694
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,geopotential,7.0,37075323.027193606,587476.3933242417,-6029.033287145138,300.71176179970075
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,geopotential,10.0,8065849.710820613,471285.2996292917,-2778.9474146274274,319.91010256737655
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,geopotential,20.0,1829836.2361698304,306093.67249663186,1316.6390827020973,393.3538937197836
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,geopotential,30.0,3149336.258019588,168321.7728113207,1757.4089549981481,228.97486570849344
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,geopotential,500.0,1336.3230732638099,16675.512409404186,-9.840137905998144,-18.226288216983455
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,u_component_of_wind,1.0,396.5646368896081,455.1235764190011,1.9328784234306395,-2.8817146287709186
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,u_component_of_wind,2.0,216.66386560680243,232.37432290586202,1.9217683845491733,4.147559761001093
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,u_component_of_wind,3.0,154.71998100728604,166.6397828834567,-2.226927804458417,0.8960695262656057
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,u_component_of_wind,5.0,127.33224828971998,146.2218716602885,-1.8011990514615746,1.4691579234641345
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,u_component_of_wind,7.0,130.32238492074882,130.11004123064745,-4.402602757196647,-0.6910746595182689
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,u_component_of_wind,10.0,136.2662721502393,174.56907053459668,-5.529259146625664,-3.156134856047528
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,u_component_of_wind,20.0,27.47160210404608,78.07303760357686,1.2034655216431234,5.908541402877247
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,u_component_of_wind,30.0,26.12367107392703,46.81265603846648,1.6136930273138999,3.7170514867483915
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,v_component_of_wind,1.0,153.219784042033,188.43774016685006,-0.08422656547537771,4.6288359335405005
k1_w128_d16,2022-01-10T06,2022-01-10T12,6,v_component_of_wind,2.0,86.47479013799384,81.65594830586394,-0.37260996808650465,0.38002657211863
