run_id,lead_hours,pressure_hpa,baseline_mse,baseline_rmse,baseline_mean_bias,baseline_spatial_bias_energy,baseline_spatial_bias_energy_pct,baseline_centered_rmse,residual_mse,residual_rmse,residual_mean_bias,residual_spatial_bias_energy,residual_spatial_bias_energy_pct,residual_centered_rmse,mse_reduction,bias_removal_share_of_mse_reduction_pct
k1_w256_d16,6,2,430217429.3785183,20741.683378610287,-20594.500526289597,424133714.12418574,98.58589753950207,2466.518853431402,2815663.6060476224,1677.9939231259518,19.475444849973375,6775.092924181711,0.24062153268699532,1675.973899893265,427401765.77247065,99.2337825897162
k1_w256_d16,6,3,243639333.34701648,15608.950424260322,-15500.086817749434,240252948.29746366,98.61008277972523,1840.2133163176554,1751739.336544943,1323.5328996836245,-450.7008053418822,207064.91973656448,11.820532622448876,1242.8493137980881,241887594.01047155,99.2386088917546
k1_w256_d16,6,5,91763918.83166303,9579.348559879374,-9503.353396977544,90314095.54638709,98.42005081764701,1204.0860788481673,843739.6486817141,918.5530189824178,120.73665839522305,16498.15911668258,1.955361365613176,909.5281686484655,90920179.18298131,99.31524354515632
k1_w256_d16,6,7,36772258.19758301,6064.013373796517,-6007.141206071455,36086080.89889717,98.13398107073299,828.3581946753771,545581.3646275842,738.6347978721177,165.43942320325428,28534.758587451975,5.230156386835152,719.0595288570568,36226676.83295543,99.5331321903315
k1_w256_d16,6,10,7949690.1778048985,2819.5194941345767,-2765.4298404692563,7647992.366547191,96.20491107816967,549.2702533887194,398996.88698157604,631.6620037500879,192.23775364257088,37750.66629868061,9.461393692633942,601.0376200229862,7550693.290823323,100.78864823575285
k1_w256_d16,6,20,1858573.9164416054,1363.2952418466095,1331.664247461996,1773678.5947345828,95.43223323237196,291.3680176461083,253278.79750120814,503.2681169130508,347.4064560660251,121187.90497330122,47.847631214659074,363.44310769074565,1605295.1189403972,102.93999341703828
k1_w256_d16,6,30,3198044.405876105,1788.3076932888548,1771.6384137858515,3138977.4482837114,98.15302884838424,243.03694696978613,174207.89753237463,417.3821959935218,261.4429386581208,68727.34347870466,39.45133627821461,324.7776994402017,3023836.5083437306,101.53492413803477
k1_w256_d16,6,500,969.6078602178936,31.13852694360948,-7.165119071927976,57.46749339846608,5.926879902309351,30.201661656594784,15020.583958504,122.55849198853582,-15.93262879177792,262.4141913087145,1.7470305550946774,121.4832077580901,-14050.976098286106,1.4585940256153962
k2_w128_d16,6,1,924545601.990688,30406.341476584912,-30200.45185941862,912067519.1953796,98.65035507513733,3532.432985253678,9123037.01654164,3020.4365605888233,264.72115497187013,79799.20942686734,0.874700050895087,3007.197666784605,915422564.9741464,99.62478038890262
k2_w128_d16,6,2,430217429.3785183,20741.683378610287,-20594.500526289597,424133714.12418574,98.58589753950207,2466.518853431402,3942601.784878148,1985.598596111044,560.6842453941862,318868.5737918851,8.087770238802857,1903.6105723299247,426274827.59364015,99.4229117264247
k2_w128_d16,6,3,243639333.34701648,15608.950424260322,-15500.086817749434,240252948.29746366,98.61008277972523,1840.2133163176554,1957389.8431556628,1399.0674905649344,-42.96167067022589,4220.322048645301,0.2156096836510292,1397.5584142020748,241681943.50386083,99.4069827858601
k2_w128_d16,6,5,91763918.83166303,9579.348559879374,-9503.353396977544,90314095.54638709,98.42005081764701,1204.0860788481673,1057174.6403833493,1028.189982631298,359.2947981527871,130625.36450724844,12.356081910920743,962.5742962889154,90706744.19127968,99.42311455000923
k2_w128_d16,6,7,36772258.19758301,6064.013373796517,-6007.141206071455,36086080.89889717,98.13398107073299,828.3581946753771,615425.801324763,784.4907911025871,321.2671989790731,104318.63655702298,16.9506439821774,714.9175929907866,36156832.39625825,99.51580345313596
k2_w128_d16,6,10,7949690.1778048985,2819.5194941345767,-2765.4298404692563,7647992.366547191,96.20491107816967,549.2702533887194,354209.25508077355,595.1548160611435,157.79022062730553,25829.14267145793,7.292057534060728,573.0445989705476,7595480.922724125,100.35129179341075
k2_w128_d16,6,20,1858573.9164416054,1363.2952418466095,1331.664247461996,1773678.5947345828,95.43223323237196,291.3680176461083,221477.8577372379,470.6143407687848,170.9471045081701,29704.93339220739,13.412145889296719,437.91885589116913,1637096.0587043676,106.52848695528552
k2_w128_d16,6,30,3198044.405876105,1788.3076932888548,1771.6384137858515,3138977.4482837114,98.15302884838424,243.03694696978613,248726.17365419853,498.7245468735207,318.4018743758728,101714.70328908379,40.89425000784063,383.42074848019735,2949318.2322219065,102.98185905515076
k2_w128_d16,6,500,969.6078602178936,31.13852694360948,-7.165119071927976,57.46749339846608,5.926879902309351,30.201661656594784,22001.09048284608,148.32764571328596,-36.89506710417568,1372.16585556416,6.236808382902733,143.62772931186345,-21031.482622628188,6.251096918631803
k2_w128_d16,12,1,928983207.8949066,30479.225841463012,-30278.95304335229,916815389.4544196,98.6902003892988,3488.240020481282,12471245.827956712,3531.4651106809356,-153.07423147992833,34854.40383564324,0.27947812364912533,3526.5268216931327,916511962.06695,100.02930381650756
k2_w128_d16,12,2,432513992.05668813,20796.970742314566,-20652.76805789168,426537222.54874283,98.61813268062737,2444.7432396767854,5797918.318318148,2407.886691337063,306.4856951223056,100165.84140792988,1.727617325885092,2386.9965389397235,426716073.73837,99.9346129550287
k2_w128_d16,12,3,245024436.16151917,15653.25640758239,-15545.87811624065,241674620.64100263,98.63286471627329,1830.2501251240408,3441241.5284689213,1855.0583625506022,-93.06908452829003,12934.945038787484,0.3758801854440745,1851.5686818020374,241583194.63305026,100.03249028270893
