run_id,lead_hours,field,pressure_hpa,baseline_rmse,residual_rmse,rmse_reduction_pct
k2_w128_d16,6,v_component_of_wind,5,5.7748836147911335,6.539853846579579,-13.246504740444243
k2_w128_d16,6,v_component_of_wind,7,5.008131173043137,5.8911813378276,-17.632328992051693
k2_w128_d16,6,v_component_of_wind,10,4.115790792237513,5.397305746246932,-31.136542615975248
k2_w128_d16,6,v_component_of_wind,20,3.008941802687958,5.1711580283672625,-71.85968913548764
k2_w128_d16,6,v_component_of_wind,30,2.687952154629618,3.389808503423884,-26.11119203090788
k2_w128_d16,6,specific_humidity,1,8.822090230926471e-07,4.21399596846117e-07,52.2335879802192
k2_w128_d16,6,specific_humidity,2,6.319030013197258e-07,1.8915167611723446e-07,70.0663431377613
k2_w128_d16,6,specific_humidity,3,5.566283515854871e-07,1.6509632246788045e-07,70.33993651282333
k2_w128_d16,6,specific_humidity,5,4.6491624455131087e-07,1.9975990897576279e-07,57.03314063191094
k2_w128_d16,6,specific_humidity,7,3.856301475623728e-07,2.2475744432772348e-07,41.716837817673316
k2_w128_d16,6,specific_humidity,10,2.699003674101188e-07,3.002179887204459e-07,-11.232893678969646
k2_w128_d16,6,specific_humidity,20,1.0596226762451903e-07,3.682475981673309e-07,-247.5271022626932
k2_w128_d16,6,specific_humidity,30,8.362557987089006e-08,1.9468344923357403e-07,-132.80370615563655
k2_w128_d16,6,specific_cloud_ice_water_content,1,1.466035147732589e-06,2.0064311298554848e-06,-36.86105227140612
k2_w128_d16,6,specific_cloud_ice_water_content,2,1.4513668724636064e-06,1.9630978307290204e-06,-35.258553021592796
k2_w128_d16,6,specific_cloud_ice_water_content,3,1.4498182097670895e-06,1.9764902428373382e-06,-36.32676355712607
k2_w128_d16,6,specific_cloud_ice_water_content,5,1.4418084047152534e-06,1.9436646939683593e-06,-34.807418767420685
k2_w128_d16,6,specific_cloud_ice_water_content,7,1.4457543483121473e-06,1.97947654989902e-06,-36.9165205838716
k2_w128_d16,6,specific_cloud_ice_water_content,10,1.4557463624633837e-06,1.964661297228479e-06,-34.959038736934936
k2_w128_d16,6,specific_cloud_ice_water_content,20,1.2331259002909328e-06,1.6926538088627842e-06,-37.26528722358638
k2_w128_d16,6,specific_cloud_ice_water_content,30,9.865127650158664e-07,1.3906287836790091e-06,-40.96409423112159
k2_w128_d16,6,specific_cloud_liquid_water_content,1,2.794234220664137e-06,5.220470500696035e-06,-86.83009685047904
k2_w128_d16,6,specific_cloud_liquid_water_content,2,2.7952225406303136e-06,5.175654090129743e-06,-85.16071671927237
