run_id,train_K,eval_K,checkpoint_update,origin,valid_time,lead_hours,physical_hours,field,pressure_hpa,location,era5,baseline,residual
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,2.0,Beijing,3.644791377155343e-06,3.1323461371357553e-06,3.687562866616645e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,3.0,Global mean,3.5123369526543986e-06,2.9778540244648995e-06,3.5104356653924833e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,3.0,New York,3.7899164908594685e-06,2.9318364340724656e-06,3.507549081405159e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,3.0,Beijing,3.684564489958575e-06,3.1328561362897744e-06,3.6838671348959906e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,5.0,Global mean,3.4039593750099586e-06,2.980309315065134e-06,3.5314239581337987e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,5.0,New York,3.7202776184130926e-06,2.939819751190953e-06,3.534693860274274e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,5.0,Beijing,3.7549013995885616e-06,3.133212885586545e-06,3.70315274267341e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,7.0,Global mean,3.322708486594141e-06,2.978819776307077e-06,3.520477673255794e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,7.0,New York,3.598119064918137e-06,2.940767217296525e-06,3.5270818443677854e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,7.0,Beijing,3.5654866223922e-06,3.1305246466217795e-06,3.6899705264659133e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,10.0,Global mean,3.209955910014039e-06,2.977524155536178e-06,3.5228270291613624e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,10.0,New York,3.476943447822123e-06,2.9401262509054504e-06,3.5319126254762523e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,10.0,Beijing,3.5039236081502168e-06,3.131583753201994e-06,3.684549028548645e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,20.0,Global mean,2.9957617380956255e-06,2.9752999837895437e-06,3.3773647107680964e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,20.0,New York,2.8143970212113345e-06,2.9488664949894883e-06,3.3862747841340024e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,20.0,Beijing,3.191658379364526e-06,3.1224105896399124e-06,3.4975439575646305e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,30.0,Global mean,2.929899356529169e-06,2.9659581891778844e-06,3.091735633088826e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,30.0,New York,2.809065335895866e-06,2.955868239951087e-06,3.085654725509812e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_humidity,30.0,Beijing,3.023020553882816e-06,3.0962476103013614e-06,3.1644112823414616e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,1.0,Global mean,0.0,6.238629704766226e-07,2.1859351180526197e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,1.0,New York,0.0,4.704379534814507e-07,9.42319275054615e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,1.0,Beijing,0.0,2.1922405721852556e-06,1.7893153199111111e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,2.0,Global mean,0.0,5.850281516041546e-07,1.5756376759289855e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,2.0,New York,0.0,3.8667485569021665e-07,8.57859049574472e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,2.0,Beijing,0.0,2.1965213363728253e-06,1.9517947293934412e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,3.0,Global mean,0.0,5.72856012505721e-07,1.6627033575017268e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,3.0,New York,0.0,4.116641321161296e-07,8.237293513957411e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,3.0,Beijing,0.0,2.166445483453572e-06,1.8146315596823115e-06
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,5.0,Global mean,0.0,5.587407108736197e-07,1.2245824591808968e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,5.0,New York,0.0,3.853924681607168e-07,7.913058652775362e-07
k1_w128_d16,1,1,900,2022-01-10T00,2022-01-10T06,6,6,specific_cloud_ice_water_content,5.0,Beijing,0.0,2.175604095100425e-06,1.7927154658536892e-06
