recipe,run_id,epoch,update,field,baseline_loss,residual_loss,improvement_pct,baseline_share_pct,residual_share_pct
readme_v1,r2p8_w128_di16,1,424,u_component_of_wind,0.02230661161398653,0.028249566119441603,-26.64212121633376,0.00010707678569776027,3.612584521961866e-05
readme_v1,r2p8_w128_di16,1,424,v_component_of_wind,0.015066207220196689,0.02464179718312843,-63.55673875303789,7.23212054664334e-05,3.151219198224376e-05
readme_v1,r2p8_w128_di16,1,424,specific_humidity,0.04326741706933395,0.06520547493073825,-50.70341459544401,0.00020769339715960163,8.338545395210255e-05
readme_v1,r2p8_w128_di16,1,424,specific_cloud_ice_water_content,623.3469472720234,729.3873384136715,-17.011455916438933,2.992206465214508,0.9327482758946796
readme_v1,r2p8_w128_di16,1,424,specific_cloud_liquid_water_content,20208.806432345285,77468.0658426041,-283.3381555805903,97.00684590782791,99.06698546308368
current_v2,r2p8_w128_di16,1,424,total,1.1389526497087266,0.19720018400316852,82.68583122804974,100.0,100.0
current_v2,r2p8_w128_di16,1,424,temperature,0.012342242251354033,0.09026126445651159,-631.3198251850006,1.0836484075532387,45.771389571858265
current_v2,r2p8_w128_di16,1,424,geopotential,1.0827033166100655,0.042635736488634925,96.06210345580847,95.06131066001329,21.62053585505269
current_v2,r2p8_w128_di16,1,424,u_component_of_wind,0.015357475675661867,0.02082586926728367,-35.60737263799136,1.3483857893117293,10.560775778459238
current_v2,r2p8_w128_di16,1,424,v_component_of_wind,0.009351332768317849,0.014548304115392917,-55.574659525349325,0.8210466669276673,7.377429280268401
current_v2,r2p8_w128_di16,1,424,specific_humidity,0.018847286878164386,0.02840350485706712,-50.70341445258171,1.6547910822266714,14.403386589441897
current_v2,r2p8_w128_di16,1,424,specific_cloud_ice_water_content,9.034326505392342e-05,9.844696156632862e-05,-8.96989555067369,0.007932135289120897,0.0499223477219204
current_v2,r2p8_w128_di16,1,424,specific_cloud_liquid_water_content,0.00026065226010914,0.00042705785671195913,-63.84199259701104,0.022885258678295245,0.21656057719758384
normalized24_mse,r2p8_w128_di16,1,424,total,263.94315250079455,20.304479590568658,92.30725275568285,100.0,100.0
normalized24_mse,r2p8_w128_di16,1,424,temperature,0.4887854524215519,10.800762617870005,-2109.714418536931,0.1851858810468972,53.19398889143119
normalized24_mse,r2p8_w128_di16,1,424,geopotential,258.5141289562673,6.5324396229245965,97.4730821679655,97.94310877433696,32.17240606333435
normalized24_mse,r2p8_w128_di16,1,424,u_component_of_wind,0.7799976861007852,1.4390779009082715,-84.49771410249095,0.29551730314293234,7.087489706343997
