run_id,epoch,update,field,pressure_hpa,baseline_mse,residual_mse
r2p8_w256_di32,3,1272,u_component_of_wind,50.0,1.1315817461390676,10.067082896019585
r2p8_w256_di32,3,1272,u_component_of_wind,70.0,1.12226303430767,2.4802018694861236
r2p8_w256_di32,3,1272,u_component_of_wind,100.0,1.3048216249115279,2.7874996880895084
r2p8_w256_di32,3,1272,u_component_of_wind,125.0,1.4188450351613493,2.336182962987841
r2p8_w256_di32,3,1272,u_component_of_wind,150.0,1.4963557155271576,2.8299281901919966
r2p8_w256_di32,3,1272,u_component_of_wind,175.0,1.5222772715427622,2.7378191270369436
r2p8_w256_di32,3,1272,u_component_of_wind,200.0,1.596340423883851,2.582249874265743
r2p8_w256_di32,3,1272,u_component_of_wind,225.0,1.7501107596859489,2.74559348350538
r2p8_w256_di32,3,1272,u_component_of_wind,250.0,1.88050915801648,2.721766741251208
r2p8_w256_di32,3,1272,u_component_of_wind,300.0,1.9726522819283083,3.564849286718467
r2p8_w256_di32,3,1272,u_component_of_wind,350.0,1.807396195352692,3.532480366533155
r2p8_w256_di32,3,1272,u_component_of_wind,400.0,1.59124540152009,2.327130190367551
r2p8_w256_di32,3,1272,u_component_of_wind,450.0,1.4034066351418644,1.899635713780459
r2p8_w256_di32,3,1272,u_component_of_wind,500.0,1.2501135787603372,1.5072943521938782
r2p8_w256_di32,3,1272,u_component_of_wind,550.0,1.1626420173448386,1.3230108954652477
r2p8_w256_di32,3,1272,u_component_of_wind,600.0,1.0861500463125222,1.2266817377195325
r2p8_w256_di32,3,1272,u_component_of_wind,650.0,1.0444742619786476,1.404267850528468
r2p8_w256_di32,3,1272,u_component_of_wind,700.0,1.003151554831934,1.2524361024607498
r2p8_w256_di32,3,1272,u_component_of_wind,750.0,0.9663509646232186,1.1345237814274032
r2p8_w256_di32,3,1272,u_component_of_wind,775.0,0.9445383881785206,1.0683015615669722
r2p8_w256_di32,3,1272,u_component_of_wind,800.0,0.92787974003664,1.054326523046723
r2p8_w256_di32,3,1272,u_component_of_wind,825.0,0.9099692950543669,1.0352245080921658
r2p8_w256_di32,3,1272,u_component_of_wind,850.0,0.8807123280472772,1.0329768963695802
r2p8_w256_di32,3,1272,u_component_of_wind,875.0,0.8459510380050161,1.0260053338873427
r2p8_w256_di32,3,1272,u_component_of_wind,900.0,0.8174166316838608,0.9839706556493883
r2p8_w256_di32,3,1272,u_component_of_wind,925.0,0.8008179622417463,0.9790402587746427
r2p8_w256_di32,3,1272,u_component_of_wind,950.0,0.7643924616456441,0.9862573712142473
