recipe,run_id,field,pressure_hpa,baseline_contribution,residual_contribution
current_v2,r2p8_w128_di16,v_component_of_wind,50.0,2.8521839492403233e-05,0.00015069846219193606
current_v2,r2p8_w128_di16,v_component_of_wind,70.0,4.166889668622402e-05,0.001347263262713557
current_v2,r2p8_w128_di16,v_component_of_wind,100.0,6.693227986226959e-05,0.00019419508651891652
current_v2,r2p8_w128_di16,v_component_of_wind,125.0,9.020255670956757e-05,0.00023415282709342674
current_v2,r2p8_w128_di16,v_component_of_wind,150.0,0.00011010810288844997,0.00023809535724887883
current_v2,r2p8_w128_di16,v_component_of_wind,175.0,0.0001280334372442003,0.00020848894488154828
current_v2,r2p8_w128_di16,v_component_of_wind,200.0,0.0001529102209654212,0.00022174713000447954
current_v2,r2p8_w128_di16,v_component_of_wind,225.0,0.00019454468625686836,0.0003238508420879587
current_v2,r2p8_w128_di16,v_component_of_wind,250.0,0.00024063782742674936,0.0004585381424291949
current_v2,r2p8_w128_di16,v_component_of_wind,300.0,0.00032513091589676644,0.0005823782476241851
current_v2,r2p8_w128_di16,v_component_of_wind,350.0,0.0003587431649290622,0.0006633106538937695
current_v2,r2p8_w128_di16,v_component_of_wind,400.0,0.0003630887267058052,0.0004998973841316703
current_v2,r2p8_w128_di16,v_component_of_wind,450.0,0.00035714315011867506,0.0005014699947563697
current_v2,r2p8_w128_di16,v_component_of_wind,500.0,0.0003501980114812467,0.0004809423431472983
current_v2,r2p8_w128_di16,v_component_of_wind,550.0,0.0003546815790758516,0.00044131119637553004
current_v2,r2p8_w128_di16,v_component_of_wind,600.0,0.0003588282998444107,0.0004463741616843256
current_v2,r2p8_w128_di16,v_component_of_wind,650.0,0.0003709134777142524,0.0005074625507778454
current_v2,r2p8_w128_di16,v_component_of_wind,700.0,0.0003836214566995874,0.000483503622108771
current_v2,r2p8_w128_di16,v_component_of_wind,750.0,0.00039678155858747095,0.000496454217161235
current_v2,r2p8_w128_di16,v_component_of_wind,775.0,0.00040237917461282265,0.0005595094251659544
current_v2,r2p8_w128_di16,v_component_of_wind,800.0,0.0004088576812817415,0.00067215427370743
current_v2,r2p8_w128_di16,v_component_of_wind,825.0,0.0004149246347937384,0.0005828799927946182
current_v2,r2p8_w128_di16,v_component_of_wind,850.0,0.000417181757646693,0.0005936704505514732
current_v2,r2p8_w128_di16,v_component_of_wind,875.0,0.00041704040157214043,0.0006000021808368444
current_v2,r2p8_w128_di16,v_component_of_wind,900.0,0.0004202974219664389,0.0005721806151878371
current_v2,r2p8_w128_di16,v_component_of_wind,925.0,0.0004220579032525107,0.0005518137847271522
current_v2,r2p8_w128_di16,v_component_of_wind,950.0,0.00041375869069373687,0.0005735027581157095
current_v2,r2p8_w128_di16,v_component_of_wind,975.0,0.00037377398984365034,0.0005394896621442342
current_v2,r2p8_w128_di16,v_component_of_wind,1000.0,0.00031265516801508856,0.0004414504189518488
current_v2,r2p8_w128_di16,specific_humidity,1.0,0.0003193761850655839,4.600429637332807e-05
current_v2,r2p8_w128_di16,specific_humidity,2.0,0.0004235183967834784,3.7463825744170425e-05
current_v2,r2p8_w128_di16,specific_humidity,3.0,0.00043739398611756185,3.878364823331646e-05
current_v2,r2p8_w128_di16,specific_humidity,5.0,0.0003724920601605349,0.00013986970263277007
current_v2,r2p8_w128_di16,specific_humidity,7.0,0.0003260428629287315,0.00033224886660254525
current_v2,r2p8_w128_di16,specific_humidity,10.0,0.0002606015423298014,0.0007445871691561607
current_v2,r2p8_w128_di16,specific_humidity,20.0,0.0001431920028761543,0.0013980571139477383
current_v2,r2p8_w128_di16,specific_humidity,30.0,0.00012032833653886591,0.00030853939888743543
current_v2,r2p8_w128_di16,specific_humidity,50.0,3.0190147492790447e-06,0.0026997439598592317
current_v2,r2p8_w128_di16,specific_humidity,70.0,1.8365781464845824e-05,0.0005647841183877317
current_v2,r2p8_w128_di16,specific_humidity,100.0,0.00012474112756005463,0.0003351633968767094
current_v2,r2p8_w128_di16,specific_humidity,125.0,0.0001307835372892985,0.0004666877855291733
current_v2,r2p8_w128_di16,specific_humidity,150.0,0.0001408079643430706,0.0004477908438312374
current_v2,r2p8_w128_di16,specific_humidity,175.0,0.00015497714654188986,0.000476976788063349
current_v2,r2p8_w128_di16,specific_humidity,200.0,0.00018253439588673093,0.0002994853689652439
current_v2,r2p8_w128_di16,specific_humidity,225.0,0.00021580166638824046,0.0003494402420133248
current_v2,r2p8_w128_di16,specific_humidity,250.0,0.00025111041755017095,0.00043909387737383666
current_v2,r2p8_w128_di16,specific_humidity,300.0,0.00031759920851300965,0.0006503889684274046
current_v2,r2p8_w128_di16,specific_humidity,350.0,0.00037681460587545983,0.000651875135560266
current_v2,r2p8_w128_di16,specific_humidity,400.0,0.00042213794438601953,0.0007647309940719025
current_v2,r2p8_w128_di16,specific_humidity,450.0,0.0004738315882244291,0.0007042256587877652
current_v2,r2p8_w128_di16,specific_humidity,500.0,0.0005134994477895943,0.0006725001635200881
current_v2,r2p8_w128_di16,specific_humidity,550.0,0.0005760696570501749,0.0007036889688709017
current_v2,r2p8_w128_di16,specific_humidity,600.0,0.0006321854456263913,0.00087110205982193
current_v2,r2p8_w128_di16,specific_humidity,650.0,0.0007065961512682477,0.0009686813278661996
