run_id,lead_hours,field,pressure_hpa,baseline_rmse,residual_rmse,rmse_reduction_pct
k1_w128_d16,6,v_component_of_wind,1000,0.8050497380902053,4.715720095992393,-485.7675461368822
k1_w128_d16,6,specific_humidity,1,8.822090230926471e-07,3.899877427123884e-07,55.79417887324952
k1_w128_d16,6,specific_humidity,2,6.319030013197258e-07,1.5848556046112643e-07,74.91932145754487
k1_w128_d16,6,specific_humidity,3,5.566283515854871e-07,1.5203669529002668e-07,72.68613881111716
k1_w128_d16,6,specific_humidity,5,4.6491624455131087e-07,2.1243991155410443e-07,54.30576710453956
k1_w128_d16,6,specific_humidity,7,3.856301475623728e-07,2.5132002715601605e-07,34.828739727781034
k1_w128_d16,6,specific_humidity,10,2.699003674101188e-07,3.382886780598789e-07,-25.33835404004572
k1_w128_d16,6,specific_humidity,20,1.0596226762451903e-07,3.9294334996235214e-07,-270.83327751606873
k1_w128_d16,6,specific_humidity,30,8.362557987089006e-08,1.839164359467364e-07,-119.9284432235757
k1_w128_d16,6,specific_humidity,50,1.262637657257945e-08,2.8338020472745364e-07,-2144.350967187744
k1_w128_d16,6,specific_humidity,70,3.8946591100795945e-08,3.1107081895162203e-07,-698.7112868146879
k1_w128_d16,6,specific_humidity,100,9.12235907885788e-08,3.900327821388964e-07,-327.55692772809437
k1_w128_d16,6,specific_humidity,125,2.1746458476354877e-07,8.657532102480082e-07,-298.11227708150716
k1_w128_d16,6,specific_humidity,150,5.816137360944281e-07,2.4579186301334926e-06,-322.6032635746479
k1_w128_d16,6,specific_humidity,175,1.5965947565447658e-06,3.825950971254237e-06,-139.6319388856119
k1_w128_d16,6,specific_humidity,200,3.8110160640830006e-06,1.3698512338702404e-05,-259.44514817988613
k1_w128_d16,6,specific_humidity,225,7.82361549999697e-06,4.7046054749306966e-05,-501.3339324935534
k1_w128_d16,6,specific_humidity,250,1.38316352593059e-05,5.689098377395844e-05,-311.3106130071084
k1_w128_d16,6,specific_humidity,300,3.217009791872856e-05,0.00018912008473655732,-487.8753779809192
k1_w128_d16,6,specific_humidity,350,6.111138605841716e-05,0.00026803095691401774,-338.5941380184104
k1_w128_d16,6,specific_humidity,400,9.835611756036749e-05,0.0004724048690380566,-380.30044368934267
k1_w128_d16,6,specific_humidity,450,0.00014091692111682912,0.000421720621609659,-199.26897229043604
k1_w128_d16,6,specific_humidity,500,0.0001837503181665113,0.0009104263621498704,-395.46927114698
