run,insertion,tensor,path,channel,state,A_value
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,4,-4.829872939833571
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,5,-4.994486186883949
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,6,-6.520605354725001
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,7,-8.04656371380616
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,8,-8.894387974210161
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,9,-9.719370059198186
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,10,-11.203456356010351
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,11,-11.983726385685351
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,12,-12.967031738443197
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,13,-13.812738941716837
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,14,-14.919532931762756
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,15,-15.812467208316722
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,16,-16.93295999618242
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,17,-17.993328648890927
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,18,-19.022408439462865
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,19,-19.988226266674786
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,20,-21.00009693852502
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,21,-21.982368867374568
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,22,-22.982152611299593
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,23,-23.9966477283978
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,24,-24.998940563310875
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,25,-25.99772918913401
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,26,-27.000001606561142
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,27,-27.999648152729765
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,28,-28.999997449404816
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,29,-30.00000155428577
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,30,-30.999998021281574
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,2,31,-32.00000030474469
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,0,-0.9665233871007383
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,1,-2.0252655235916404
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,2,-2.9447741068748527
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,3,-3.7197681344694695
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,4,-4.698941608259036
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,5,-5.883701324791211
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,6,-6.915443276840122
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,7,-8.644759807830717
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,8,-8.500174144276874
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,9,-9.277720058692543
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,10,-10.080954639692262
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,11,-11.026607675544714
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,12,-12.952030794955393
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,13,-14.137386094361089
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,14,-14.078721245674112
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,15,-13.981258075434377
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,16,-17.882109522171614
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,17,-18.727404032478702
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,18,-18.482486824116133
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,19,-19.872061380516502
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,20,-20.672618033020562
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,21,-21.55233495751408
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,22,-22.79303640754454
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,23,-24.44972076973418
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,24,-25.132512839361784
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,25,-26.400121093866666
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,26,-27.041625065528862
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,27,-27.814002722206478
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,28,-28.885222316438476
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,29,-29.988052010788042
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,30,-31.040216212159237
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,3,31,-31.969550628518927
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,0,-0.9677860380675265
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,1,-1.934697822912381
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,2,-3.078048251415986
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,3,-3.9734097500481917
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,4,-4.954232477111511
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,5,-5.953554736078519
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,6,-6.799499572150811
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,7,-7.979788650965177
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,8,-8.314894540228678
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,9,-9.90591276955531
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,10,-10.774872639807425
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,11,-11.811408714769076
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,12,-12.457310437909799
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,13,-13.626224033818367
di64_ds32,r0_s0,mamba_block_0/A_log,mesh_interleaved_temporal_r0_s0/~_run_sequence/mamba_block_0/A_log,4,14,-15.326633779012173
