label,valid_time,era5_c,pred_c,error_c,abs_error_c
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-02 06:00:00,-10.113592529296852,-0.20871582031247726,9.904876708984375,9.904876708984375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-02 12:00:00,-10.217932128906227,0.38668212890627274,10.6046142578125,10.6046142578125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-02 18:00:00,-0.6359619140624773,6.595208740234398,7.231170654296875,7.231170654296875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-03 00:00:00,-2.6611694335937273,3.0216918945312727,5.682861328125,5.682861328125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-03 06:00:00,-7.021063232421852,-1.9072021484374773,5.113861083984375,5.113861083984375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-03 12:00:00,-10.288854980468727,-3.1789306640624773,7.10992431640625,7.10992431640625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-03 18:00:00,-0.9108642578124773,0.7206359863281477,1.631500244140625,1.631500244140625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-04 00:00:00,-1.1445068359374773,-3.0879272460937273,-1.94342041015625,1.94342041015625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-04 06:00:00,-4.955541992187477,-6.889959716796852,-1.934417724609375,1.934417724609375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-04 12:00:00,-3.9896606445312273,-7.189825439453102,-3.200164794921875,3.200164794921875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-04 18:00:00,-0.6958984374999773,2.5749450683593977,3.270843505859375,3.270843505859375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-05 00:00:00,-3.6064208984374773,0.7965637207031477,4.402984619140625,4.402984619140625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-05 06:00:00,-7.106665039062477,-2.1082519531249773,4.9984130859375,4.9984130859375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-05 12:00:00,-11.575872802734352,-1.9250549316406023,9.65081787109375,9.65081787109375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-05 18:00:00,-1.7235473632812273,5.875421142578148,7.598968505859375,7.598968505859375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-06 00:00:00,-2.8887695312499773,1.6402221679687727,4.52899169921875,4.52899169921875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-06 06:00:00,-10.218359374999977,0.6513000488281477,10.869659423828125,10.869659423828125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-06 12:00:00,-9.403723144531227,-3.0736145019531023,6.330108642578125,6.330108642578125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-06 18:00:00,-1.2323364257812273,5.738854980468773,6.97119140625,6.97119140625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-07 00:00:00,-3.6966308593749773,5.471765136718773,9.16839599609375,9.16839599609375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-07 06:00:00,-4.187567138671852,5.275079345703148,9.462646484375,9.462646484375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-07 12:00:00,-7.187780761718727,4.104272460937523,11.29205322265625,11.29205322265625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-07 18:00:00,-12.065679931640602,5.672937011718773,17.738616943359375,17.738616943359375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-08 00:00:00,-14.536383056640602,3.3398071289062727,17.876190185546875,17.876190185546875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-08 06:00:00,-16.195593261718727,-1.6025451660156023,14.593048095703125,14.593048095703125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-08 12:00:00,-17.581518554687477,-0.004766845703102263,17.576751708984375,17.576751708984375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-08 18:00:00,-10.823858642578102,2.1500793457031477,12.97393798828125,12.97393798828125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-09 00:00:00,-10.563330078124977,-0.6106933593749773,9.95263671875,9.95263671875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-09 06:00:00,-12.818151855468727,-0.6668762207031023,12.151275634765625,12.151275634765625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-09 12:00:00,-13.422857666015602,-5.374304199218727,8.048553466796875,8.048553466796875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-09 18:00:00,-3.6042541503906023,-2.5872863769531023,1.0169677734375,1.0169677734375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-10 00:00:00,-3.7734130859374773,-0.013464355468727263,3.75994873046875,3.75994873046875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-10 06:00:00,-5.967108154296852,-1.1460021972656023,4.82110595703125,4.82110595703125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-10 12:00:00,-7.470312499999977,-1.2851928710937273,6.18511962890625,6.18511962890625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-10 18:00:00,-0.9831909179687273,5.241906738281273,6.22509765625,6.22509765625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-11 00:00:00,-0.5885375976562273,5.494897460937523,6.08343505859375,6.08343505859375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-11 06:00:00,-0.44238891601560226,5.384362792968773,5.826751708984375,5.826751708984375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-11 12:00:00,-0.8087829589843523,3.1528564453125227,3.961639404296875,3.961639404296875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-11 18:00:00,3.7003417968750227,6.540368652343773,2.84002685546875,2.84002685546875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-12 00:00:00,1.5348754882812727,3.5855346679687727,2.0506591796875,2.0506591796875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-12 06:00:00,-0.13684692382810226,1.7887817382812727,1.925628662109375,1.925628662109375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-12 12:00:00,-2.4761108398437273,2.4615112304687727,4.9376220703125,4.9376220703125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-12 18:00:00,1.1658569335937727,5.673822021484398,4.507965087890625,4.507965087890625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-13 00:00:00,-1.5428527832031023,2.2348571777343977,3.7777099609375,3.7777099609375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-13 06:00:00,-4.855993652343727,-2.5195068359374773,2.33648681640625,2.33648681640625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-13 12:00:00,-8.777929687499977,-4.588964843749977,4.18896484375,4.18896484375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-13 18:00:00,1.0409790039062727,4.798059082031273,3.757080078125,3.757080078125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-14 00:00:00,-1.2977966308593523,2.7116333007812727,4.009429931640625,4.009429931640625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-14 06:00:00,-4.431555175781227,3.2855773925781477,7.717132568359375,7.717132568359375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-14 12:00:00,-3.2472900390624773,4.694604492187523,7.94189453125,7.94189453125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-14 18:00:00,4.559564208984398,6.800653076171898,2.2410888671875,2.2410888671875
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-15 00:00:00,1.9732299804687727,7.692102050781273,5.7188720703125,5.7188720703125
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-15 06:00:00,-3.4954589843749773,5.577722167968773,9.07318115234375,9.07318115234375
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-15 12:00:00,-7.113439941406227,4.019525146484398,11.132965087890625,11.132965087890625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-15 18:00:00,3.3204589843750227,13.872857666015648,10.552398681640625,10.552398681640625
res1_m4_w512_mp1_h6_bs4 (step 46000),2026-02-16 00:00:00,1.1744628906250227,9.591333007812523,8.4168701171875,8.4168701171875
res1_m4_w512_mp2_h6_bs4 (step 46000),2026-01-22 12:00:00,1.5079895019531477,-1.8204101562499773,-3.328399658203125,3.328399658203125
